who,source_id,species,ref_abb,locality,start_year,year,end_year,nests_total,nests_hatched,nests_predated,nests_abandoned,nests_infertile,nests_failed_other_cause,nests_unknown_fate,nests_total_failed,prop_hatched,prop_predated,daily_survival_rate,ds_lwr,ds_upr,daily_predation_rate,dp_lwr,dp_upr,overall_nest_success,os_lwr,os_upr,overall_predation_rate,op_lwr,op_upr,uncertainty,exposure_days,estimation_method,nest_exposure_interval,nest_search_frequency,nest_check_frequency,when_most_nests_found,incubation_period,egg_laying_period,incubation+laying_period,study_anomaly,comments,nest level data in 'nests',Data quality
jreneerkens,95,Philomachus_pugnax,Beintema & Müskens 1987,"The Netherlands, whole country",1974,all,1983,,,,,,,,,,,0.999,0.9979,1.0001,,,,,,,,,,sd,,mayfield,incubation,,1-2 per week,,,,,,DSR estimates for nests that hatched or fell victim to predation only; trampling separately analysed. No sample sizes per species or exposure days were provided.,,5
jreneerkens,95,Recurvirostra_avosetta,Beintema & Müskens 1987,"The Netherlands, whole country",1974,all,1983,,,,,,,,,,,0.995,0.9932,0.9968,,,,,,,,,,sd,,mayfield,incubation,,1-2 per week,,,,,,DSR estimates for nests that hatched or fell victim to predation only; trampling separately analysed. No sample sizes per species or exposure days were provided.,,5
jreneerkens,95,Tringa_totanus,Beintema & Müskens 1987,"The Netherlands, whole country",1974,all,1983,,,,,,,,,,,0.993,0.992,0.994,,,,,,,,,,sd,,mayfield,incubation,,1-2 per week,,,,,,DSR estimates for nests that hatched or fell victim to predation only; trampling separately analysed. No sample sizes per species or exposure days were provided.,,5
jreneerkens,95,Vanellus_vanellus,Beintema & Müskens 1987,"The Netherlands, whole country",1974,all,1983,,,,,,,,,,,0.987,0.9863,0.9877,,,,,,,,,,sd,,mayfield,incubation,,1-2 per week,,,,,,DSR estimates for nests that hatched or fell victim to predation only; trampling separately analysed. No sample sizes per species or exposure days were provided.,,5
eschlicht,96,Haematopus_ostralegus,Rudenko 1998,"Konskyi islansd, Black Sea reserve",1984,1984,1991,10,,4,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,,,,predation by yellow-legged gull (Larus cachians),,
eschlicht,96,Haematopus_ostralegus,Rudenko 1998,"Konskyi islansd, Black Sea reserve",1984,1985,1991,11,,7,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,,,,predation by yellow-legged gull (Larus cachians),,
eschlicht,96,Haematopus_ostralegus,Rudenko 1998,"Konskyi islansd, Black Sea reserve",1984,1986,1991,11,,2,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,,,,predation by yellow-legged gull (Larus cachians),,
eschlicht,96,Haematopus_ostralegus,Rudenko 1998,"Konskyi islansd, Black Sea reserve",1984,1988,1991,18,,2,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,,,,predation by yellow-legged gull (Larus cachians),,
eschlicht,96,Haematopus_ostralegus,Rudenko 1998,"Konskyi islansd, Black Sea reserve",1984,1989,1991,10,,4,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,,,,predation by yellow-legged gull (Larus cachians),,
eschlicht,96,Haematopus_ostralegus,Rudenko 1998,"Konskyi islansd, Black Sea reserve",1984,1990,1991,15,,3,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,,,,predation by yellow-legged gull (Larus cachians),,
eschlicht,96,Haematopus_ostralegus,Rudenko 1998,"Konskyi islansd, Black Sea reserve",1984,1991,1991,15,,4,,,,,,,,,,,,,,,,,,,,,,,,unknown,unknown,unknown,,,,,predation by yellow-legged gull (Larus cachians),,
apintaric,97,Calidris_alpina,Jackson & Green 2000,"South Uist, Hebrides",1995,all,1997,100,,74,0,0,1,0,75,,,0.9147,,,,,,,,,,,,,881,mayfield,inc+lay,unknown,1-2 per week,unknown,27.5,,,yes,Rows duplicated for species and for 2 surveys. Survey in 1985-87 before hedgehog colonization and survey in 1996-97 after hedgehog invation of the isalnd,,
apintaric,97,Calidris_alpina,Jackson & Green 2000,"South Uist, Hebrides",1985,all,1987,122,,27,0,0,4,0,31,,,0.97555,,,,,,,,,,,,,1498,mayfield,inc+lay,unknown,1-2 per week,unknown,27.5,,,yes,Rows duplicated for species and for 2 surveys. Survey in 1985-87 before hedgehog colonization and survey in 1996-97 after hedgehog invation of the isalnd. No data for lapwings and oystercatcher for the first survey period,,
apintaric,97,Charadrius_hiaticula,Jackson & Green 2000,"South Uist, Hebrides",1995,all,1997,69,,43,0,0,5,0,48,,,0.9362,,,,,,,,,,,,,759,mayfield,inc+lay,unknown,1-2 per week,unknown,29,,,yes,Survey in 1985-87 before hedgehog colonization and survey in 1996-97 after hedgehog invation of the isalnd,,
apintaric,97,Charadrius_hiaticula,Jackson & Green 2000,"South Uist, Hebrides",1985,all,1987,114,,70,0,0,4,0,74,,,0.94275,,,,,,,,,,,,,1500,mayfield,inc+lay,unknown,1-2 per week,unknown,29,,,yes,Survey in 1985-87 before hedgehog colonization and survey in 1996-97 after hedgehog invation of the isalnd,,
apintaric,97,Haematopus_ostralegus,Jackson & Green 2000,"South Uist, Hebrides",1995,all,1997,83,,16,0,0,3,0,19,,,0.98405,,,,,,,,,,,,,1422,mayfield,inc+lay,unknown,1-2 per week,unknown,29,,,yes,Survey in 1985-87 before hedgehog colonization and survey in 1996-97 after hedgehog invation of the isalnd,,
apintaric,97,Tringa_totanus,Jackson & Green 2000,"South Uist, Hebrides",1995,all,1997,12,,11,0,0,0,0,11,,,0.8817,,,,,,,,,,,,,93,mayfield,inc+lay,unknown,1-2 per week,unknown,29,,,yes,Survey in 1985-87 before hedgehog colonization and survey in 1996-97 after hedgehog invation of the isalnd,,
apintaric,97,Tringa_totanus,Jackson & Green 2000,"South Uist, Hebrides",1985,all,1987,57,,19,0,0,0,0,19,,,0.96365,,,,,,,,,,,,,810,mayfield,inc+lay,unknown,1-2 per week,unknown,29,,,yes,Survey in 1985-87 before hedgehog colonization and survey in 1996-97 after hedgehog invation of the isalnd,,
apintaric,97,Vanellus_vanellus,Jackson & Green 2000,"South Uist, Hebrides",1995,all,1997,169,,60,0,0,10,0,70,,,0.9615,,,,,,,,,,,,,1815,mayfield,inc+lay,unknown,1-2 per week,unknown,30,,,yes,Survey in 1985-87 before hedgehog colonization and survey in 1996-97 after hedgehog invation of the isalnd,,
rottvall,98,Arenaria_interpres,Ottvall 2005,south part of Oland,2004,2004,2004,1,,,,,,1,,,,,,,,,,,,,,,,,9,,,less than weekly,less than weekly,unknown,,,,,"uncertainty for daily survival: SE, uncertainty for overall nest success: 95% CI; sites revisited every 5-13 days for nest searches and nest checks; this species is listed in Table, but not further considered by author, probably becuase of low sample size; entered here for availability, but should probably be excluded",,
rottvall,98,Calidris_alpina,Ottvall 2005,south part of Oland,2004,2004,2004,6,2,4,,,,,,,,0.935,0.9036,0.9664,,,,0.174,0.028,0.946,,,,,61.5,mayfield,inc+lay,less than weekly,less than weekly,unknown,,,26,,"uncertainty for daily survival: SE, uncertainty for overall nest success: 95% CI; sites revisited every 5-13 days for nest searches and nest checks; this species is listed in Table, but not further considered by author, probably becuase of low sample size; entered here for availability, but should probably be excluded",,
rottvall,98,Charadrius_hiaticula,Ottvall 2005,south part of Oland,2004,2004,2004,16,4,10,,,1,1,,,,0.94,0.9215,0.9585,,,,0.199,0.07,0.542,,,,,166,mayfield,inc+lay,less than weekly,less than weekly,unknown,,,26,,"uncertainty for daily survival: SE, uncertainty for overall nest success: 95% CI; sites revisited every 5-13 days for nest searches and nest checks; other failure cause: trampling",,
